文明id,名称,特色区域id,文明能力,是否首期纳入,备注,数据来源,待核
CIVILIZATION_AKKAD,阿卡德,无,无,否,无,一手,否
CIVILIZATION_AMERICA,美国,无,美国特色建筑：电影制片厂：LOC_TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO_DESCRIPTION；开国元勋：当前政体的所有外交政策槽位均转为通配符槽位。其政体中每个通配符槽位每回合提供+1 外交支持。,否,无,一手,否
CIVILIZATION_ANTANANARIVO,塔那那利佛,无,无,否,无,一手,否
CIVILIZATION_ANTIOCH,威尼斯,无,无,否,无,一手,否
CIVILIZATION_ARABIA,阿拉伯,无,最后的预言家：当倒数第二个 预言家被招募后（如果您尚未获得 大预言家），自动获得最后一个大预言家。每座信奉阿拉伯宗教的外国城市+1 科技值。,否,无,一手,否
CIVILIZATION_ARMAGH,阿尔马,无,无,否,无,一手,否
CIVILIZATION_AUCKLAND,奥克兰,无,无,否,无,一手,否
CIVILIZATION_AUSTRALIA,澳大利亚,无,南方大陆：为所有海岸城市+3 住房。牧场可触发文化炸弹。拥有迷人魅力的单元格中的学院、商业中心、圣地和剧院的产出+1；惊艳的单元格则产出+3。,否,无,一手,否
CIVILIZATION_AYUTTHAYA,阿瑜陀耶,无,无,否,无,一手,否
CIVILIZATION_AZTEC,阿兹特克,无,五个太阳的传说：使用建造者劳动力来推进20%的区域建设进程。,否,无,一手,否
CIVILIZATION_BABYLON,安善,无,无,否,无,一手,否
CIVILIZATION_BABYLON_STK,巴比伦,无,巴比伦诸神：尤里卡提供科技的所有 科技值。每回合的 科技值-50%。,否,无,一手,否
CIVILIZATION_BARBARIAN,野蛮人,无,无,否,无,一手,否
CIVILIZATION_BOLOGNA,博洛尼亚,无,无,否,无,一手,否
CIVILIZATION_BRAZIL,巴西,DISTRICT_STREET_CARNIVAL|DISTRICT_WATER_STREET_CARNIVAL,亚马逊：雨林单元格为学院、商业中心、圣地和剧院广场区域提供+1相邻加成，并为相邻的单元格提供+1魅力（而非通常的-1。）,否,无,一手,否
CIVILIZATION_BRUSSELS,布鲁塞尔,无,无,否,无,一手,否
CIVILIZATION_BUENOS_AIRES,布宜诺斯艾利斯,无,无,否,无,一手,否
CIVILIZATION_BYZANTIUM,拜占庭,DISTRICT_HIPPODROME,天授规矩：每有1座圣城皈依拜占庭的宗教（也包括拜占庭的圣城），单位便获得+3 战斗力或 宗教战斗力。击杀敌方文明或城邦的单位时，拜占庭的宗教将传播到附近的城市。如城市拥有圣地区域，其提供的 大预言家点数+1。,否,无,一手,否
CIVILIZATION_CAGUANA,卡瓜纳,无,无,否,无,一手,否
CIVILIZATION_CAHOKIA,卡霍基亚,无,无,否,无,一手,否
CIVILIZATION_CANADA,加拿大,无,和平四颜：无法对城邦宣战或发动突袭战争。无法对加拿大发动突袭战争。每回合每获得100点 旅游业绩，即可每回合获得1点 外交支持。成功完成紧急状况或积分竞赛后+100% 外交支持。,否,无,一手,否
CIVILIZATION_CARDIFF,加的夫,无,无,否,无,一手,否
CIVILIZATION_CHINA,中国,无,朝代更替：尤里卡和 鼓舞提供50%的科技与市政，而非40%。建成奇观时将获得奇观所处时代的一项随机 尤里卡和 鼓舞（如可用）。,否,无,一手,否
CIVILIZATION_CHINGUETTI,欣盖提,无,无,否,无,一手,否
CIVILIZATION_CREE,克里,无,林地克里人：+1 贸易路线容量，拥有制陶术科技后获得1个免费商人。商人首次进入克里城市3个单元格内的无主单元格后，这些单元格将划入克里领土中。,否,无,一手,否
CIVILIZATION_EGYPT,埃及,无,古尼罗河：在江河旁建造区域与奇观时 生产力+15%。不会受到洪水的损害。,否,无,一手,否
CIVILIZATION_ENGLAND,英国,DISTRICT_ROYAL_NAVY_DOCKYARD,世界工厂：每回合收集的铁与煤额外增加2点。生产军事工程师时+100% 生产力。军事工程师+2建造次数。拥有电力供给时，建筑的额外产出+4。建造工业区建筑时+20% 生产力。港口使战略资源储备+10（标准速度下）。,否,无,一手,否
CIVILIZATION_ETHIOPIA,埃塞俄比亚,无,阿克苏姆的遗产：埃塞俄比亚的国际贸易路线起点处每拥有一种资源，其提供的 信仰值便+0.5。城市每拥有一种重复的改良资源，其提供的 信仰值便+1。可用信仰值购买考古博物馆和考古学家。,否,无,一手,否
CIVILIZATION_FEZ,非斯,无,无,否,无,一手,否
CIVILIZATION_FRANCE,法国,无,游学：为中世纪、文艺复兴时期和工业时代的奇观+20% 生产力。 所有奇观的 旅游业绩+100%。,否,无,一手,否
CIVILIZATION_FREE_CITIES,自由城市,无,无,否,无,一手,否
CIVILIZATION_GAUL,高卢,DISTRICT_OPPIDUM,哈尔施塔特文化：矿山为所有区域提供少量相邻加成、对无主领土施放文化炸弹，并+1 文化值。特色区域与其他区域相邻时不会获得少量相邻加成；特色区域也无法建在市中心旁。,否,无,一手,否
CIVILIZATION_GENEVA,日内瓦,无,无,否,无,一手,否
CIVILIZATION_GEORGIA,格鲁吉亚,无,团结就是力量：在黄金或英雄时代初期设置着力点时，除原有加成外还将获得提高时代得分的普通时代加成。建造防御性建筑时+50% 生产力。,否,无,一手,否
CIVILIZATION_GERMANY,德国,DISTRICT_HANSA,自由帝国城市：每座城市都能建造比平常多一个区域（无视 人口数量限制）。,否,无,一手,否
CIVILIZATION_GRANADA,格拉纳达,无,无,否,无,一手,否
CIVILIZATION_GRAN_COLOMBIA,大哥伦比亚,无,爱国军：所有单位+1 移动力。升级单位不会结束其回合。,否,无,一手,否
CIVILIZATION_GREECE,希腊,DISTRICT_ACROPOLIS,柏拉图的理想国：每种政体可获得一个额外的通配符槽位。,否,无,一手,否
CIVILIZATION_HATTUSA,哈图沙,无,无,否,无,一手,否
CIVILIZATION_HONG_KONG,香港,无,无,否,无,一手,否
CIVILIZATION_HUNGARY,匈牙利,无,多瑙河之珠：在市中心河对岸修建区域与建筑时+50% 生产力。,否,无,一手,否
CIVILIZATION_HUNZA,罕萨,无,无,否,无,一手,否
CIVILIZATION_INCA,印加,无,米塔制度：公民可改良山脉单元格。山脉单元格提供+2 生产力，游戏进入工业时代后额外+1 生产力。每与一个梯田农场相邻，山脉单元格则+1 食物。,否,无,一手,否
CIVILIZATION_INDIA,印度,无,达摩：从城市中的每个宗教（其须拥有至少1个信徒）获得信徒信仰加成。城市从每个宗教（须有至少1个信徒）获得1点 宜居度。传教士的传播次数+2。来自 贸易路线的宗教压力+100%。,否,无,一手,否
CIVILIZATION_INDONESIA,印度尼西亚,无,伟大千岛之国：海岸和湖泊单元格可为圣地、学院、工业区和剧院广场提供少量相邻加成。如与海岸或湖泊单元格相邻，娱乐设施+1 宜居度。,否,无,一手,否
CIVILIZATION_JAKARTA,斯里巴加湾,无,无,否,无,一手,否
CIVILIZATION_JAPAN,日本,无,明治维新：当区域与区域相邻时，所有区域获得一个额外的标准相邻加成。,否,无,一手,否
CIVILIZATION_JERUSALEM,耶路撒冷,无,无,否,无,一手,否
CIVILIZATION_JOHANNESBURG,约翰内斯堡,无,无,否,无,一手,否
CIVILIZATION_KABUL,喀布尔,无,无,否,无,一手,否
CIVILIZATION_KANDY,康提,无,无,否,无,一手,否
