市政id,名称,时代,备注,数据来源,待核
CIVIC_CAPITALISM,资本主义,ERA_MODERN,无,一手,否
CIVIC_CIVIL_ENGINEERING,土木工程,ERA_INDUSTRIAL,无,一手,否
CIVIC_CIVIL_SERVICE,行政部门,ERA_MEDIEVAL,无,一手,否
CIVIC_CLASS_STRUGGLE,阶级斗争,ERA_MODERN,无,一手,否
CIVIC_CODE_OF_LAWS,法典,ERA_ANCIENT,无,一手,否
CIVIC_COLD_WAR,冷战,ERA_ATOMIC,无,一手,否
CIVIC_COLONIALISM,殖民主义,ERA_INDUSTRIAL,无,一手,否
CIVIC_CONSERVATION,保护地球,ERA_MODERN,无,一手,否
CIVIC_CORPORATE_LIBERTARIANISM,政治冒险,ERA_INFORMATION,无,一手,否
CIVIC_CRAFTSMANSHIP,技艺,ERA_ANCIENT,无,一手,否
CIVIC_CULTURAL_HEGEMONY,文化霸权,ERA_FUTURE,无,一手,否
CIVIC_CULTURAL_HERITAGE,文化遗产,ERA_ATOMIC,无,一手,否
CIVIC_DEFENSIVE_TACTICS,防御战术,ERA_CLASSICAL,无,一手,否
CIVIC_DIGITAL_DEMOCRACY,分散式主权,ERA_INFORMATION,无,一手,否
CIVIC_DIPLOMATIC_SERVICE,外交部门,ERA_RENAISSANCE,无,一手,否
CIVIC_DIVINE_RIGHT,王权神授,ERA_MEDIEVAL,无,一手,否
CIVIC_DRAMA_POETRY,戏剧和诗歌,ERA_CLASSICAL,无,一手,否
CIVIC_EARLY_EMPIRE,帝国初期,ERA_ANCIENT,无,一手,否
CIVIC_ENVIRONMENTALISM,环境保护主义,ERA_INFORMATION,无,一手,否
CIVIC_EXODUS_IMPERATIVE,必要性远征,ERA_FUTURE,无,一手,否
CIVIC_EXPLORATION,探索,ERA_RENAISSANCE,无,一手,否
CIVIC_FEUDALISM,封建主义,ERA_MEDIEVAL,无,一手,否
CIVIC_FOREIGN_TRADE,对外贸易,ERA_ANCIENT,无,一手,否
CIVIC_FUTURE_CIVIC,未来市政,ERA_FUTURE,无,一手,否
CIVIC_GAMES_RECREATION,游戏和娱乐,ERA_CLASSICAL,无,一手,否
CIVIC_GLOBALIZATION,全球化,ERA_INFORMATION,无,一手,否
CIVIC_GLOBAL_WARMING_MITIGATION,全球变暖减缓学,ERA_FUTURE,无,一手,否
CIVIC_GUILDS,公会,ERA_MEDIEVAL,无,一手,否
CIVIC_HUMANISM,人文主义,ERA_RENAISSANCE,无,一手,否
CIVIC_IDEOLOGY,意识形态,ERA_MODERN,无,一手,否
CIVIC_INFORMATION_WARFARE,信息战,ERA_FUTURE,无,一手,否
CIVIC_MASS_MEDIA,大众媒体,ERA_MODERN,无,一手,否
CIVIC_MEDIEVAL_FAIRES,中世纪集市,ERA_MEDIEVAL,无,一手,否
CIVIC_MERCANTILISM,重商主义,ERA_RENAISSANCE,无,一手,否
CIVIC_MERCENARIES,雇佣兵,ERA_MEDIEVAL,无,一手,否
CIVIC_MILITARY_TRADITION,军事传统,ERA_ANCIENT,无,一手,否
CIVIC_MILITARY_TRAINING,军事训练,ERA_CLASSICAL,无,一手,否
CIVIC_MOBILIZATION,动员,ERA_MODERN,无,一手,否
CIVIC_MYSTICISM,神秘主义,ERA_ANCIENT,无,一手,否
CIVIC_NATIONALISM,民族主义,ERA_INDUSTRIAL,无,一手,否
CIVIC_NATURAL_HISTORY,自然历史,ERA_INDUSTRIAL,无,一手,否
CIVIC_NAVAL_TRADITION,海军传统,ERA_MEDIEVAL,无,一手,否
CIVIC_NEAR_FUTURE_GOVERNANCE,近未来治理,ERA_INFORMATION,无,一手,否
CIVIC_NUCLEAR_PROGRAM,核计划,ERA_MODERN,无,一手,否
CIVIC_OPERA_BALLET,歌剧和芭蕾,ERA_INDUSTRIAL,无,一手,否
CIVIC_POLITICAL_PHILOSOPHY,政治哲学,ERA_CLASSICAL,无,一手,否
CIVIC_PROFESSIONAL_SPORTS,职业体育,ERA_ATOMIC,无,一手,否
CIVIC_RAPID_DEPLOYMENT,紧急部署,ERA_ATOMIC,无,一手,否
CIVIC_RECORDED_HISTORY,历史记录,ERA_CLASSICAL,无,一手,否
CIVIC_REFORMED_CHURCH,归正会,ERA_RENAISSANCE,无,一手,否
CIVIC_SCORCHED_EARTH,焦土策略,ERA_INDUSTRIAL,无,一手,否
CIVIC_SMART_POWER_DOCTRINE,巧实力主义,ERA_FUTURE,无,一手,否
CIVIC_SOCIAL_MEDIA,社交媒体,ERA_INFORMATION,无,一手,否
CIVIC_SPACE_RACE,太空竞赛,ERA_ATOMIC,无,一手,否
CIVIC_STATE_WORKFORCE,国家劳动力,ERA_ANCIENT,无,一手,否
CIVIC_SUFFRAGE,选举权,ERA_MODERN,无,一手,否
CIVIC_SYNTHETIC_TECHNOCRACY,最优化命令,ERA_INFORMATION,无,一手,否
CIVIC_THEOLOGY,神学,ERA_CLASSICAL,无,一手,否
CIVIC_THE_ENLIGHTENMENT,启蒙运动,ERA_RENAISSANCE,无,一手,否
CIVIC_TOTALITARIANISM,极权主义,ERA_MODERN,无,一手,否
CIVIC_URBANIZATION,城市化,ERA_INDUSTRIAL,无,一手,否
