地貌id,名称,基础产出,是否可建区域,是否需移除,备注,数据来源,待核
FEATURE_BARRIER_REEF,大堡礁,科技:2|粮食:3,否,否,自然奇观,一手,否
FEATURE_BERMUDA_TRIANGLE,百慕大三角区,无,否,否,自然奇观,一手,否
FEATURE_BURNING_FOREST,正在燃烧的树林,无,是,否,无,一手,否
FEATURE_BURNING_JUNGLE,燃烧的雨林,无,是,否,无,一手,否
FEATURE_BURNT_FOREST,烧毁的树林,无,是,否,无,一手,否
FEATURE_BURNT_JUNGLE,烧毁的雨林,无,是,否,无,一手,否
FEATURE_CHOCOLATEHILLS,巧克力山,生产力:2|科技:1|粮食:1,否,否,自然奇观,一手,否
FEATURE_CLIFFS_DOVER,多佛白崖,文化:3|粮食:2|金币:3,否,否,自然奇观,一手,否
FEATURE_CRATER_LAKE,火山口湖,信仰:5|科技:1,否,否,自然奇观,一手,否
FEATURE_DEAD_SEA,死海,信仰:2|文化:2,否,否,自然奇观,一手,否
FEATURE_DELICATE_ARCH,精致拱门,无,否,否,自然奇观|不可通行,一手,否
FEATURE_DEVILSTOWER,魔鬼塔,无,否,否,自然奇观|不可通行,一手,否
FEATURE_EVEREST,珠穆朗玛峰,无,否,否,自然奇观|不可通行,一手,否
FEATURE_EYE_OF_THE_SAHARA,撒哈拉之眼,生产力:2|科技:1,否,否,自然奇观,一手,否
FEATURE_EYJAFJALLAJOKULL,艾雅法拉火山,无,否,否,自然奇观|不可通行,一手,否
FEATURE_FLOODPLAINS,沙漠泛滥平原,粮食:2,是,否,无,一手,否
FEATURE_FLOODPLAINS_GRASSLAND,草原泛滥平原,无,是,否,无,一手,否
FEATURE_FLOODPLAINS_PLAINS,平原泛滥平原,无,是,否,无,一手,否
FEATURE_FOREST,森林,生产力:1,是,是,无,一手,否
FEATURE_FOUNTAIN_OF_YOUTH,青春之泉,信仰:4|科技:4,否,否,自然奇观,一手,否
FEATURE_GALAPAGOS,加拉帕戈斯群岛,无,否,否,自然奇观|不可通行,一手,否
FEATURE_GEOTHERMAL_FISSURE,地热裂缝,科技:1,是,否,无,一手,否
FEATURE_GIANTS_CAUSEWAY,巨人堤,无,否,否,自然奇观|不可通行,一手,否
FEATURE_GOBUSTAN,戈布斯坦国家公园,文化:3|生产力:1,否,否,自然奇观,一手,否
FEATURE_HA_LONG_BAY,下龙湾,文化:1|生产力:1|粮食:3,否,否,自然奇观,一手,否
FEATURE_ICE,冰,无,否,否,不可通行,一手,否
FEATURE_IKKIL,伊卡-吉尔地下水坑,无,否,否,自然奇观|不可通行,一手,否
FEATURE_JUNGLE,雨林,粮食:1,是,是,无,一手,否
FEATURE_KILIMANJARO,乞力马扎罗山,无,否,否,自然奇观|不可通行,一手,否
FEATURE_LAKE_RETBA,玫瑰湖,文化:2|生产力:1|金币:2,否,否,自然奇观,一手,否
FEATURE_LYSEFJORDEN,吕瑟峡湾,无,否,否,自然奇观|不可通行,一手,否
FEATURE_MARSH,沼泽,粮食:1,是,是,无,一手,否
FEATURE_MATTERHORN,马特洪峰,无,否,否,自然奇观|不可通行,一手,否
FEATURE_OASIS,绿洲,粮食:3|金币:1,是,否,无,一手,否
FEATURE_PAITITI,帕依提提,无,否,否,自然奇观|不可通行,一手,否
FEATURE_PAMUKKALE,棉花堡,无,否,否,自然奇观|不可通行,一手,否
FEATURE_PANTANAL,潘塔纳尔湿地,文化:2|粮食:2,否,否,自然奇观,一手,否
FEATURE_PIOPIOTAHI,米尔福德峡湾,无,否,否,自然奇观|不可通行,一手,否
FEATURE_REEF,礁石,生产力:1|粮食:1,是,否,无,一手,否
FEATURE_RORAIMA,罗赖马山,无,否,否,自然奇观|不可通行,一手,否
FEATURE_TORRES_DEL_PAINE,百内国家公园,无,否,否,自然奇观|不可通行,一手,否
FEATURE_TSINGY,贝马拉哈国家公园,无,否,否,自然奇观|不可通行,一手,否
FEATURE_UBSUNUR_HOLLOW,乌布苏盆地,信仰:2|生产力:1|粮食:1,否,否,自然奇观,一手,否
FEATURE_ULURU,乌卢鲁,无,否,否,自然奇观|不可通行,一手,否
FEATURE_VESUVIUS,维苏威火山,无,否,否,自然奇观|不可通行,一手,否
FEATURE_VOLCANIC_SOIL,火山土,无,是,否,无,一手,否
FEATURE_VOLCANO,火山,无,是,否,无,一手,否
FEATURE_WHITEDESERT,白沙漠,文化:1|科技:1|金币:4,否,否,自然奇观,一手,否
FEATURE_YOSEMITE,约塞米蒂国家公园,无,否,否,自然奇观|不可通行,一手,否
FEATURE_ZHANGYE_DANXIA,张掖丹霞,无,否,否,自然奇观|不可通行,一手,否
