建筑id,名称,所属区域id,基础产出,生产成本,前置科技,前置市政,前置建筑id,替换建筑id,是否宗教建筑,备注,数据来源,待核
BUILDING_AIRPORT,机场,DISTRICT_AERODROME,生产力:4,480,TECH_ADVANCED_FLIGHT,无,BUILDING_HANGAR,无,否,无,一手,否
BUILDING_AMPHITHEATER,古罗马剧场,DISTRICT_THEATER,文化:2,150,无,CIVIC_DRAMA_POETRY,无,无,否,无,一手,否
BUILDING_AQUARIUM,水族馆,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,无,360,无,CIVIC_NATURAL_HISTORY,BUILDING_FERRIS_WHEEL,无,否,无,一手,否
BUILDING_AQUATICS_CENTER,水上运动中心,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,无,480,无,CIVIC_PROFESSIONAL_SPORTS,BUILDING_AQUARIUM,无,否,无,一手,否
BUILDING_ARENA,竞技场,DISTRICT_ENTERTAINMENT_COMPLEX,文化:1,150,无,CIVIC_GAMES_RECREATION,无,无,否,无,一手,否
BUILDING_ARMORY,兵工厂,DISTRICT_ENCAMPMENT,生产力:3,195,TECH_MILITARY_ENGINEERING,无,BUILDING_BARRACKS|BUILDING_STABLE,无,否,无,一手,否
BUILDING_BANK,银行,DISTRICT_COMMERCIAL_HUB,金币:5,290,TECH_BANKING,无,BUILDING_MARKET,无,否,无,一手,否
BUILDING_BARRACKS,兵营,DISTRICT_ENCAMPMENT,生产力:1,90,TECH_BRONZE_WORKING,无,无,无,否,无,一手,否
BUILDING_BASILIKOI_PAIDES,皇家学堂,DISTRICT_ENCAMPMENT,生产力:1,90,TECH_BRONZE_WORKING,无,无,BUILDING_BARRACKS,否,无,一手,否
BUILDING_BROADCAST_CENTER,广播中心,DISTRICT_THEATER,文化:2,440,TECH_RADIO,无,BUILDING_MUSEUM_ART|BUILDING_MUSEUM_ARTIFACT,无,否,无,一手,否
BUILDING_CASTLE,中世纪城墙,DISTRICT_CITY_CENTER,无,220,TECH_CASTLES,无,BUILDING_WALLS,无,否,无,一手,否
BUILDING_CATHEDRAL,大教堂,DISTRICT_HOLY_SITE,信仰:3,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_CHANCERY,外交办,DISTRICT_DIPLOMATIC_QUARTER,无,290,无,CIVIC_DIPLOMATIC_SERVICE,BUILDING_CONSULATE,无,否,无,一手,否
BUILDING_COAL_POWER_PLANT,燃煤发电厂,DISTRICT_INDUSTRIAL_ZONE,无,300,TECH_INDUSTRIALIZATION,无,BUILDING_FACTORY,无,否,无,一手,否
BUILDING_CONSULATE,领事馆,DISTRICT_DIPLOMATIC_QUARTER,无,150,TECH_MATHEMATICS,无,无,无,否,无,一手,否
BUILDING_DAR_E_MEHR,拜火神庙,DISTRICT_HOLY_SITE,信仰:3,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_ELECTRONICS_FACTORY,电子厂,DISTRICT_INDUSTRIAL_ZONE,生产力:3,330,TECH_INDUSTRIALIZATION,无,BUILDING_WORKSHOP,BUILDING_FACTORY,否,无,一手,否
BUILDING_FACTORY,工厂,DISTRICT_INDUSTRIAL_ZONE,生产力:3,330,TECH_INDUSTRIALIZATION,无,BUILDING_WORKSHOP,无,否,无,一手,否
BUILDING_FERRIS_WHEEL,摩天轮,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,文化:3,290,无,CIVIC_NATURAL_HISTORY,无,无,否,无,一手,否
BUILDING_FILM_STUDIO,电影制片厂,DISTRICT_THEATER,文化:2,440,TECH_RADIO,无,BUILDING_MUSEUM_ART|BUILDING_MUSEUM_ARTIFACT,BUILDING_BROADCAST_CENTER,否,无,一手,否
