领袖id,名称,所属文明id,领袖能力,是否首期纳入,备注,数据来源,待核
LEADER_ABRAHAM_LINCOLN,亚伯拉罕·林肯,CIVILIZATION_AMERICA,解放黑奴宣言：工业区每回合提供的 宜居度 +2、忠诚度+3 ，但种植园每回合提供的忠诚度-2。建造工业区和其建筑后获得1个免费近战单位。免费单位的生成或维护不需要资源，并且+5 战斗力。,否,无,一手,否
LEADER_ALEXANDER,亚历山大,CIVILIZATION_MACEDON,直到世界尽头：城市不会产生厌战情绪。此玩家占领拥有世界奇观的城市时，所有军事单位的体力值将完全恢复。,否,无,一手,否
LEADER_AMANITORE,阿曼妮托尔,CIVILIZATION_NUBIA,麦罗埃的甘达刻：如果努比亚金字塔临近市中心，所有区域+20% 生产力的加成提升至+40%。,否,无,一手,否
LEADER_AMBIORIX,安比奥里克斯,CIVILIZATION_GAUL,厄勃隆尼斯之王：生产出一个非平民单位时，您的文明将获得等同于该单位成本20%的 文化值。每与1个单位相邻，近战、抗骑兵和远程单位便+2 战斗力。,否,无,一手,否
LEADER_BARBAROSSA,弗雷德里克·巴巴罗萨,CIVILIZATION_GERMANY,神圣罗马皇帝：额外的军事政策槽位。攻击城邦时，+7 战斗力。,否,无,一手,否
LEADER_BASIL,巴兹尔二世,CIVILIZATION_BYZANTIUM,生于紫室：对所信仰宗教与拜占庭相同的城市发起进攻时，轻重骑兵将输出全额伤害。解锁“王权神授”市政后将获得特色单位“甲胄骑兵”。,否,无,一手,否
LEADER_CATHERINE_DE_MEDICI,凯瑟琳·德·美第奇（黑王后）,CIVILIZATION_FRANCE,凯瑟琳的亲卫队：外交能见度比遇到的其他文明高1级。 解锁“城堡”科技后免费获得1个间谍（并增加1个间谍容量）。所有间谍初始便可免费升级为探员。,否,无,一手,否
LEADER_CATHERINE_DE_MEDICI_ALT,凯瑟琳·德·美第奇（寻欢作乐）,CIVILIZATION_FRANCE,寻欢作乐的凯瑟琳：与剧院广场区域或法国特色城堡相邻的改良奢侈品资源提供的 文化值+2。可在拥有剧院广场区域的任意城市中开展“宫廷盛会”项目。,否,无,一手,否
LEADER_CHANDRAGUPTA,旃陀罗笈多,CIVILIZATION_INDIA,政事论：解锁军事训练市政后可宣布领土扩张战争。宣布领土扩张战争后的10回合内+2 移动力、+5 战斗力。,否,无,一手,否
LEADER_CLEOPATRA,克利欧佩特拉（埃及）,CIVILIZATION_EGYPT,地中海新娘：您通往其他文明的 贸易路线为埃及+4 金币。其他文明通往埃及的 贸易路线能为其+2 食物、为埃及+2 金币。与盟友进行贸易可获得双倍同盟点数。,否,无,一手,否
LEADER_CLEOPATRA_ALT,克利欧佩特拉（托勒密）,CIVILIZATION_EGYPT,哈庇的降临：沿泛滥平原的资源+1 食物、+1 文化值。已拥有的泛滥平原单元格为相邻单元格提供的魅力+1，而非通常的-1。,否,无,一手,否
LEADER_CYRUS,居鲁士,CIVILIZATION_PERSIA,巴比伦的陨落：对主要文明宣布突袭战争后的10回合内+2 移动力。拥有驻扎单位的占领城市每回合的忠诚度+5。宣布突袭战争的 不满和好战性与正式战争相同。,否,无,一手,否
LEADER_DIDO,狄多,CIVILIZATION_PHOENICIA,迦太基建国者：在城市中完成特色项目后，可将原始 首都迁至任意拥有U型港的城市（必须为本方建立）。每个市政广场建筑与市政广场区域+1 贸易路线容量。在拥有市政广场的城市中建造区域时+50% 生产力。,否,无,一手,否
LEADER_ELEANOR_ENGLAND,阿基坦的埃莉诺（英国）,CIVILIZATION_ENGLAND,爱之法庭：埃莉诺的城市中每个巨作可使9个单元格内的外国城市每回合减少1点忠诚度。城市因失去忠诚度而离开另一文明后，如其每回合对埃莉诺的忠诚度最高，则会跳过成为自由城市阶段直接加入埃莉诺的文明。,否,无,一手,否
LEADER_ELEANOR_FRANCE,阿基坦的埃莉诺（法国）,CIVILIZATION_FRANCE,爱之法庭：埃莉诺的城市中每个巨作可使9个单元格内的外国城市每回合减少1点忠诚度。城市因失去忠诚度而离开另一文明后，如其每回合对埃莉诺的忠诚度最高，则会跳过成为自由城市阶段直接加入埃莉诺的文明。,否,无,一手,否
LEADER_ELIZABETH,伊丽莎白一世,CIVILIZATION_ENGLAND,德瑞克的遗产：获得首位 海军统帅后，英国的 贸易路线容量+2。起源城市中每有一个特色区域， 通往任意城邦的贸易路线便+3 金币。用海军单位掠夺 贸易路线的收益+100%。,否,无,一手,否
LEADER_FREE_CITIES,自由城市领袖,CIVILIZATION_FREE_CITIES,无,否,无,一手,否
LEADER_GANDHI,甘地,CIVILIZATION_INDIA,非暴力不合作：所遇到的文明（包括印度）已创建了宗教且不在战争状态，均会+5信仰值 。与甘地交战的文明获得双倍厌战情绪。,否,无,一手,否
LEADER_GENGHIS_KHAN,成吉思汗,CIVILIZATION_MONGOLIA,蒙古部落：所有骑兵类单位 战斗力+3，击败敌方骑兵类单位后有几率将其俘获。,否,无,一手,否
LEADER_GILGAMESH,吉尔伽美什,CIVILIZATION_SUMERIA,恩奇都奇遇：与同一个敌人交战时，如果他们与其盟友位于5个单元格以内，则共享掠夺奖励和战斗经验值。其同盟针对同一个敌人作战可获得同盟点数。与本方及本方盟友的交战方作战时+5 战斗力。,否,无,一手,否
LEADER_GITARJA,特丽布瓦娜,CIVILIZATION_INDONESIA,三界的崇高女神：可用 信仰值购买海军单位。宗教单位上船下船时无移动力消耗。与海岸或湖泊单元格相邻的市中心+2 信仰值。,否,无,一手,否
LEADER_GORGO,戈尔戈,CIVILIZATION_GREECE,塞莫皮莱：战斗胜利后，获得等同于被击杀单位 战斗力50%的 文化值（标准速度下）。槽位中每有一项军事政策，则+1 战斗力。,否,无,一手,否
LEADER_HAMMURABI,汉谟拉比,CIVILIZATION_BABYLON_STK,尼鲁-伊路-辛鲁：首次建造出一种特色区域（市政广场除外）时，获得当前可在该区域中建造的、所需 生产力最低的建筑。首次建造任意其他区域时，获得1名 使者。,否,无,一手,否
LEADER_HARALD_ALT,哈拉尔德·哈德拉达（瓦良格）,CIVILIZATION_NORWAY,北欧卫队：所有单位金币维护花费-2 。征集单位的花费-75%，征集单位完成击杀时获得等同于对手 战斗力50%的 文化值、 信仰值和 科技值。木板教堂每回合+1影响力点数。,否,无,一手,否
LEADER_HARDRADA,哈拉尔德·哈德拉达（北境王）,CIVILIZATION_NORWAY,北方惊雷：使所有海军近战单位均能发动海岸突袭，生产所有海军近战单位时+50% 生产力。对矿山发动掠夺或海岸扫荡时除 金币外还将获得 科技值。对采石场、牧场、种植园和露营地发动掠夺或海岸扫荡时除 信仰值外还将获得 文化值。解锁“航海术”科技后即可获得特色单位维京长船。,否,无,一手,否
LEADER_HOJO,北条时宗,CIVILIZATION_JAPAN,神风：陆地单位处于相邻海岸的陆地单元格时+5 战斗力；浅水单元格上的海军单位+5 战斗力。建造军营、圣地和剧院广场的时间减半。单位不受飓风伤害。如文明与日本交战时单位处于日本领土内，遭遇飓风时受到的伤害将+100%。,否,无,一手,否
LEADER_JADWIGA,雅德维加,CIVILIZATION_POLAND,立陶宛联邦：如城市在波兰文化炸弹的攻击下失去单元格，则波兰的主流宗教将成为此城的主流宗教。圣地可从相邻区域获得信仰值相邻加成。所有遗物均提供加成：+2信仰值、+2文化值、+4金币。,否,无,一手,否
LEADER_JAYAVARMAN,阇耶跋摩七世,CIVILIZATION_KHMER,国王的修道院：圣地将拥有以下效果：与河流相邻时将获得大量相邻加成、可施放1次文化炸弹、将提供等同于其相邻加成的 食物、处于河流之上时+2 住房。,否,无,一手,否
LEADER_JOAO_III,若昂三世,CIVILIZATION_PORTUGAL,关闸：所有单位+1视野。与1个文明相遇便+1 贸易路线容量。对所有城邦开放边界。,否,无,一手,否
LEADER_JOHN_CURTIN,约翰·科廷,CIVILIZATION_AUSTRALIA,文明的大本营：若其在过去10回合内遭到宣战或曾解放城市，则+100% 生产力。,否,无,一手,否
LEADER_JULIUS_CAESAR,尤里乌斯·凯撒,CIVILIZATION_ROME,我来，我见，我征服：首次征服一座城市或从蛮族哨站获得 金币时 +300 金币。研究完“金属铸造”之后，两者提供的 金币数量变为500，研究完“钢铁”之后，变为700（标准速度下）。当目标为蛮族时，获得+5 战斗力且总是获得正常经验值。,否,无,一手,否
LEADER_KRISTINA,克里斯蒂娜,CIVILIZATION_SWEDEN,北方的弥涅耳瓦：全部槽位填满时，拥有3个或以上巨作槽位的建筑和2个或以上巨作槽位的奇观可自动获得主题。可在市政广场中建造女王图书馆。,否,无,一手,否
LEADER_KUBLAI_KHAN_CHINA,忽必烈（中国）,CIVILIZATION_CHINA,腰牌：任意政体中额外增加一个经济政策槽位。首次在另一个文明的城市中建立 贸易站时随机获得一项 尤里卡和 鼓舞。,否,无,一手,否
LEADER_KUBLAI_KHAN_MONGOLIA,忽必烈（蒙古）,CIVILIZATION_MONGOLIA,腰牌：任意政体中额外增加一个经济政策槽位。首次在另一个文明的城市中建立 贸易站时随机获得一项 尤里卡和 鼓舞。,否,无,一手,否
LEADER_KUPE,库佩,CIVILIZATION_MAORI,库佩的航行：游戏开始时位于海洋单元格中。免费获得1名建造者，建立首座城市时+1 人口。宫殿获得+3 住房与+1 宜居度。建立首座城市前每回合获得+2 科技值与+2 文化值。,否,无,一手,否
LEADER_LADY_SIX_SKY,六日夫人,CIVILIZATION_MAYA,穆塔尔忠烈之女：首都6单元格范围内的非首都城市所有产出+10%，且建成时将获得1名建造者。其他非首都城市的所有产出-15%。 首都6单元格范围内的单位+5 战斗力。,否,无,一手,否
LEADER_LADY_TRIEU,赵夫人,CIVILIZATION_VIETNAM,驱除吴军：在雨林、沼泽或树林单元格中战斗的单位+5 战斗力。如果单位在回合开始时处于这些地貌中，则+1 移动力。而如果这些地貌单元格是您的领土，则以上加成均加倍。,否,无,一手,否
LEADER_LAURIER,威尔弗里德·劳雷尔,CIVILIZATION_CANADA,西部净土：允许在冻土地貌上建造农场。解锁“土木工程”后，即可在冻土丘陵上建造农场。在雪地、冻土、雪地丘陵和冻土丘陵上的所有矿山提供的 生产力+2、伐木场提供的 生产力+2、营地提供的 食物+2、农场提供的 食物+2，战略资源积累速度+100%。这些地貌上的单元格购买费用降低50%。,否,无,一手,否
LEADER_LAUTARO,莱夫扎茹,CIVILIZATION_MAPUCHE,迅捷之鹰：与自由城市或处在黄金/英雄时代中的文明作战时+10 战斗力。在敌方城市边界中击杀敌方单位后，将使此城损失20点忠诚度（如此文明正处在黄金/英雄时代中，则损失40点忠诚度）。,否,无,一手,否
LEADER_LUDWIG,路德维希二世,CIVILIZATION_GERMANY,童话国王：奇观（即使未建成）从每个相邻区域处获得+2 文化值。这个 文化值显示在城市产出中。解锁“城堡”之后，所有文化 相邻加成将提供 旅游业绩。,否,无,一手,否
LEADER_MANSA_MUSA,曼沙·穆萨,CIVILIZATION_MALI,萨赫勒商人：起始城市中的每个沙漠平原单元格为国际 贸易路线提供+1 金币。文明进入黄金时代后可获得+1 贸易路线容量。,否,无,一手,否
LEADER_MATTHIAS_CORVINUS,匈雅提·马加什,CIVILIZATION_HUNGARY,渡鸦之王：征集单位+2 移动力、+5 战斗力。升级征集单位所花费的 金币和资源减少75%。征集城邦军队时可在该城邦增加2名 使者。研究“城堡”科技后获得特色单位“黑军”。,否,无,一手,否
LEADER_MENELIK,孟尼利克二世,CIVILIZATION_ETHIOPIA,内阁会议：获得等同于建在丘陵上的城市所产生 信仰值15%的 科技值和 文化值。单位在丘陵上时+4 战斗力。,否,无,一手,否
